top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,Class,Microsegmento_Descubierto
x,x,x,x,o,o,x,o,o,positive,Segmento 153
x,x,x,x,o,o,o,x,o,positive,Segmento 28
x,x,x,x,o,o,o,o,x,positive,Segmento 34
x,x,x,x,o,o,o,b,b,positive,Segmento 111
x,x,x,x,o,o,b,o,b,positive,Segmento 183
x,x,x,x,o,o,b,b,o,positive,Segmento 112
x,x,x,x,o,b,o,o,b,positive,Segmento 34
x,x,x,x,o,b,o,b,o,positive,Segmento 28
x,x,x,x,o,b,b,o,o,positive,Segmento 112
x,x,x,x,b,o,o,o,b,positive,Segmento 173
x,x,x,x,b,o,o,b,o,positive,Segmento 86
x,x,x,x,b,o,b,o,o,positive,Segmento 49
x,x,x,o,x,o,x,o,o,positive,Segmento 55
x,x,x,o,x,o,o,x,o,positive,Segmento 67
x,x,x,o,x,o,o,o,x,positive,Segmento 32
x,x,x,o,x,o,o,b,b,positive,Segmento 174
x,x,x,o,x,o,b,o,b,positive,Segmento 117
x,x,x,o,x,o,b,b,o,positive,Segmento 149
x,x,x,o,x,b,o,o,b,positive,Segmento 32
x,x,x,o,x,b,o,b,o,positive,Segmento 4
x,x,x,o,x,b,b,o,o,positive,Segmento 4
x,x,x,o,o,x,x,o,o,positive,Segmento 16
x,x,x,o,o,x,o,x,o,positive,Segmento 75
x,x,x,o,o,x,o,o,x,positive,Sin Segmento
x,x,x,o,o,x,o,b,b,positive,Segmento 102
x,x,x,o,o,x,b,o,b,positive,Segmento 165
x,x,x,o,o,x,b,b,o,positive,Segmento 16
x,x,x,o,o,b,x,o,b,positive,Segmento 154
x,x,x,o,o,b,x,b,o,positive,Segmento 3
x,x,x,o,o,b,o,x,b,positive,Segmento 102
x,x,x,o,o,b,o,b,x,positive,Segmento 5
x,x,x,o,o,b,b,x,o,positive,Segmento 3
x,x,x,o,o,b,b,o,x,positive,Segmento 5
x,x,x,o,o,b,b,b,b,positive,Segmento 154
x,x,x,o,b,x,o,o,b,positive,Segmento 38
x,x,x,o,b,x,o,b,o,positive,Segmento 70
x,x,x,o,b,x,b,o,o,positive,Segmento 70
x,x,x,o,b,o,x,o,b,positive,Segmento 146
x,x,x,o,b,o,x,b,o,positive,Segmento 25
x,x,x,o,b,o,o,x,b,positive,Segmento 38
x,x,x,o,b,o,o,b,x,positive,Segmento 36
x,x,x,o,b,o,b,x,o,positive,Segmento 25
x,x,x,o,b,o,b,o,x,positive,Segmento 115
x,x,x,o,b,o,b,b,b,positive,Segmento 146
x,x,x,o,b,b,x,o,o,positive,Segmento 146
x,x,x,o,b,b,o,x,o,positive,Segmento 86
x,x,x,o,b,b,o,o,x,positive,Segmento 97
x,x,x,o,b,b,o,b,b,positive,Segmento 4
x,x,x,o,b,b,b,o,b,positive,Segmento 4
x,x,x,o,b,b,b,b,o,positive,Segmento 146
x,x,x,b,x,o,o,o,b,positive,Segmento 174
x,x,x,b,x,o,o,b,o,positive,Segmento 4
x,x,x,b,x,o,b,o,o,positive,Segmento 4
x,x,x,b,o,x,o,o,b,positive,Segmento 165
x,x,x,b,o,x,o,b,o,positive,Segmento 163
x,x,x,b,o,x,b,o,o,positive,Segmento 41
x,x,x,b,o,o,x,o,b,positive,Segmento 144
x,x,x,b,o,o,x,b,o,positive,Segmento 3
x,x,x,b,o,o,o,x,b,positive,Segmento 175
x,x,x,b,o,o,o,b,x,positive,Segmento 5
x,x,x,b,o,o,b,x,o,positive,Segmento 3
x,x,x,b,o,o,b,o,x,positive,Segmento 5
x,x,x,b,o,o,b,b,b,positive,Segmento 111
x,x,x,b,o,b,x,o,o,positive,Segmento 16
x,x,x,b,o,b,o,x,o,positive,Segmento 75
x,x,x,b,o,b,o,o,x,positive,Sin Segmento
x,x,x,b,o,b,o,b,b,positive,Segmento 155
x,x,x,b,o,b,b,o,b,positive,Segmento 111
x,x,x,b,o,b,b,b,o,positive,Segmento 16
x,x,x,b,b,o,x,o,o,positive,Segmento 150
x,x,x,b,b,o,o,x,o,positive,Segmento 92
x,x,x,b,b,o,o,o,x,positive,Segmento 35
x,x,x,b,b,o,o,b,b,positive,Segmento 4
x,x,x,b,b,o,b,o,b,positive,Segmento 4
x,x,x,b,b,o,b,b,o,positive,Segmento 150
x,x,x,b,b,b,o,o,b,positive,Segmento 35
x,x,x,b,b,b,o,b,o,positive,Segmento 70
x,x,x,b,b,b,b,o,o,positive,Segmento 70
x,x,o,x,x,o,o,o,x,positive,Segmento 29
x,x,o,x,o,x,x,o,o,positive,Segmento 22
x,x,o,x,o,o,x,o,x,positive,Segmento 34
x,x,o,x,o,o,x,b,b,positive,Segmento 113
x,x,o,x,o,b,x,o,b,positive,Segmento 34
x,x,o,x,o,b,x,b,o,positive,Segmento 182
x,x,o,x,b,o,x,o,b,positive,Segmento 50
x,x,o,x,b,b,x,o,o,positive,Segmento 23
x,x,o,o,x,x,o,x,o,positive,Segmento 77
x,x,o,o,x,x,o,o,x,positive,Segmento 69
x,x,o,o,x,o,x,o,x,positive,Segmento 145
x,x,o,o,x,o,o,x,x,positive,Segmento 64
x,x,o,o,x,o,b,x,b,positive,Segmento 118
x,x,o,o,x,o,b,b,x,positive,Segmento 145
x,x,o,o,x,b,o,x,b,positive,Segmento 123
x,x,o,o,x,b,o,b,x,positive,Segmento 6
x,x,o,o,x,b,b,x,o,positive,Segmento 116
x,x,o,o,x,b,b,o,x,positive,Segmento 94
x,x,o,b,x,o,o,x,b,positive,Segmento 160
x,x,o,b,x,o,o,b,x,positive,Segmento 6
x,x,o,b,x,o,b,o,x,positive,Segmento 29
x,x,o,b,x,b,o,x,o,positive,Segmento 77
x,x,o,b,x,b,o,o,x,positive,Segmento 69
x,x,b,x,o,o,x,o,b,positive,Segmento 143
x,x,b,x,o,o,x,b,o,positive,Segmento 143
x,x,b,x,o,b,x,o,o,positive,Segmento 142
